Full Journal Title	Journal Impact Factor
CA-A CANCER JOURNAL FOR CLINICIANS	187.040
NEW ENGLAND JOURNAL OF MEDICINE	72.406
NATURE REVIEWS DRUG DISCOVERY	57.000
CHEMICAL REVIEWS	47.928
LANCET	47.831
NATURE REVIEWS MOLECULAR CELL BIOLOGY	46.602
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	44.405
NATURE BIOTECHNOLOGY	41.667
NATURE REVIEWS GENETICS	40.282
NATURE	40.137
NATURE REVIEWS IMMUNOLOGY	39.932
NATURE MATERIALS	39.737
Nature Nanotechnology	38.986
CHEMICAL SOCIETY REVIEWS	38.618
Nature Photonics	37.852
SCIENCE	37.205
NATURE REVIEWS CANCER	37.147
REVIEWS OF MODERN PHYSICS	36.917
LANCET ONCOLOGY	33.900
PROGRESS IN MATERIALS SCIENCE	31.140
Annual Review of Astronomy and Astrophysics	30.733
CELL	30.410
NATURE MEDICINE	29.886
Energy & Environmental Science	29.518
Living Reviews in Relativity	29.300
MATERIALS SCIENCE & ENGINEERING R-REPORTS	29.280
NATURE REVIEWS NEUROSCIENCE	28.880
Annual Review of Immunology	28.396
NATURE GENETICS	27.959
CANCER CELL	27.407
PHYSIOLOGICAL REVIEWS	27.312
Annual Review of Pathology-Mechanisms of Disease	26.853
NATURE REVIEWS MICROBIOLOGY	26.819
World Psychiatry	26.561
World Psychiatry	26.561
LANCET NEUROLOGY	26.284
Nature Chemistry	25.870
PROGRESS IN POLYMER SCIENCE	25.766
NATURE METHODS	25.062
JOURNAL OF CLINICAL ONCOLOGY	24.008
Cell Stem Cell	23.394
IMMUNITY	22.845
Annual Review of Plant Biology	22.808
Nature Physics	22.806
ADVANCES IN PHYSICS	21.818
Materials Today	21.695
NATURE IMMUNOLOGY	21.506
BMJ-British Medical Journal	20.785
Nature Reviews Clinical Oncology	20.693
ACCOUNTS OF CHEMICAL RESEARCH	20.268
Nature Reviews Neurology	20.257
NATURE CELL BIOLOGY	20.060
Cancer Discovery	20.011
CLINICAL MICROBIOLOGY REVIEWS	19.958
Annual Review of Psychology	19.950
Annual Review of Psychology	19.950
Annual Review of Biochemistry	19.939
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	19.896
LANCET INFECTIOUS DISEASES	19.864
ADVANCED MATERIALS	19.791
Lancet Diabetes & Endocrinology	19.742
EUROPEAN HEART JOURNAL	19.651
CIRCULATION	19.309
Nature Climate Change	19.304
Nature Climate Change	19.304
Lancet Respiratory Medicine	19.287
Annual Review of Condensed Matter Physics	18.588
GASTROENTEROLOGY	18.392
Nature Reviews Endocrinology	18.318
Cell Metabolism	18.164
PHARMACOLOGICAL REVIEWS	17.893
NATURE NEUROSCIENCE	17.839
Advances in Optics and Photonics	17.833
Lancet Global Health	17.686
Lancet Global Health	17.686
Nano Today	17.476
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	17.425
PROGRESS IN ENERGY AND COMBUSTION SCIENCE	17.382
IEEE Communications Surveys and Tutorials	17.188
ANNALS OF INTERNAL MEDICINE	17.135
Science Translational Medicine	16.796
PSYCHOLOGICAL BULLETIN	16.793
PSYCHOLOGICAL BULLETIN	16.793
Advanced Energy Materials	16.721
GUT	16.658
TRENDS IN BIOCHEMICAL SCIENCES	16.630
JAMA Oncology	16.559
JAMA Internal Medicine	16.538
PSYCHOLOGICAL INQUIRY	16.455
EUROPEAN UROLOGY	16.265
ENDOCRINE REVIEWS	15.745
Annual Review of Neuroscience	15.630
CELL RESEARCH	15.606
TRENDS IN COGNITIVE SCIENCES	15.402
TRENDS IN COGNITIVE SCIENCES	15.402
TRENDS IN CELL BIOLOGY	15.333
JAMA Psychiatry	15.307
JAMA Psychiatry	15.307
TRENDS IN ECOLOGY & EVOLUTION	15.268
Nature Chemical Biology	15.066
Cell Host & Microbe	14.946
Annual Review of Cell and Developmental Biology	14.917
JOURNAL OF MANAGED CARE PHARMACY	14.789
Annual Review of Physical Chemistry	14.741
MOLECULAR CELL	14.714
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	14.533
REPORTS ON PROGRESS IN PHYSICS	14.311
Nature Reviews Cardiology	14.299
BEHAVIORAL AND BRAIN SCIENCES	14.200
BEHAVIORAL AND BRAIN SCIENCES	14.200
AMERICAN JOURNAL OF PSYCHIATRY	14.176
AMERICAN JOURNAL OF PSYCHIATRY	14.176
Psychological Science in the Public Interest	14.143
Light-Science & Applications	14.098
NEURON	14.024
Annual Review of Fluid Mechanics	14.020
Wiley Interdisciplinary Reviews-Computational Molecular Science	14.016
STUDIES IN MYCOLOGY	14.000
CIRCULATION RESEARCH	13.965
ACS Nano	13.942
Nature Geoscience	13.941
